C2.5.2.5ESPU,ESXi & Switch Patch Update,BPUAVZ,ESAZ,Management-server,ESXi-host-Switch-Management-PC,TCP/8530-8531,WSUS,Patch updates for the ESXi hosts and Switch Management WS.,,,2.5,2.5
C2.5.2.5MP,Management Server 1 Patch Conduit,BPUAVZ,BPUAVZ,Management-server,Management-server,TCP/8530-8531,WSUS,Self-patching of the management server 1,lateral conduit,,2.5,2.5
C2.5.2.5MAU,Management Server 1 Antivirus Update,BPUAVZ,BPUAVZ,Management-server,Management-server,TCP/82 TCP/8081 TCP/808 TCP/8181 TCP/8282 TCP/8444,TRELLIX,Antivirus for the management server 1,lateral conduit,,2.5,2.5
C2.5.3.5DPU,Download Patch Update Conduit,BPUAVZ,HCTN,Management-server,RemoteAccessPlant,TCP/8530-8531,WSUS,Request and get windows patches from the upstream WSUS server at RemoteAccessPlant,,,2.5,3.5
C2.5.3.5DMU,Download McAfee Update Conduit,BPUAVZ,HCTN,Management-server,RemoteAccessPlant,TCP/82 TCP/8081 TCP/808 TCP/8181 TCP/8282 TCP/8444,TRELLIX,Request new antivirus definition files and updates from Upstream ePO server at RemoteAccessPlant,,,2.5,3.5
C2.5.3.5TBO,Transfer Backup Offsite,BPUAVZ,HCTN,Backup-Server,RemoteAccessPlant,TCP/7755-7756 TCP/7765 TCP/7780 TCP/9852 TCP/9860 TCP/9862 TCP/9876 TCP/9877,ACRONIS,Transfer of backup to RemoteAccessPlant for offsite storage to use for Disaster Recovery.,edit: named TOB in list, corrected,2.5,3.5
C2.5.3.5MF,Manage Firewalls Conduit,ESAZ,MGMTFWZ,ESXi-host-Switch-Management-PC,SAS-firewalls-and-EAGLE-40,TCP/22 TCP/443,SSH HTTPS,Configuration and management of the SAS firewalls and EAGLE 40 firewalls,not in drawing,,2.5,3.5
C2.5.2.5SMSN,Switch Management Service Network Conduit,ESAZ,MGMTSWZ,ESXi-host-Switch-Management-PC,Service-Network-Switches,TCP/22 TCP/443,SSH HTTPS,Configuration and management of the service network switches,,,2.5,2.5
C2.5.2NTPM,NTP Time Management Conduit,ESAZ,NTPZ,ESXi-host-Switch-Management-PC,NTP-Servers,TCP/22 TCP/443,SSH HTTPS,Configuration and management of the NTP Servers,,,2.5,2
C2.5.2SMCS,Switch Management Client Server Conduit,ESAZ,MGMTSWZ,ESXi-host-Switch-Management-PC,Client-Server-network-switches,TCP/22 TCP/443,SSH HTTPS,Configuration and management of the switches in Client/server network,,,2.5,2
C2.5.1MGW,Management GW Conduit,ESAZ,MGMTFWZ,ESXi-host-Switch-Management-PC,RNRP-Routers-GW,TCP/22 TCP/443,SSH HTTPS,Configuration and management of the RNRP Routers/gateways.,,,2.5,1
C2.5.0SME,Switch Management Electro Conduit,ESAZ,MGMTSWZ,ESXi-host-Switch-Management-PC,Electro-Switches,TCP/22 TCP/443,SSH HTTPS,Configuration and management of electro switches (IEC61850 and PROFINET),,,2.5,0
C2.5.1SMS,Switch Management Safety Conduit,ESAZ,MGMTSWZ,ESXi-host-Switch-Management-PC,Control-network-switches,TCP/22 TCP/443,SSH HTTPS,Configuration and management of Control network switches,,,2.5,1
C2.5.1SMC,Switch Management Control Conduit,ESAZ,MGMTSWZ,ESXi-host-Switch-Management-PC,Safety-network-switches,TCP/22 TCP/443,SSH HTTPS,Configuration and management of Safety Network Switches,,,2.5,1
C3.5.2.5RABPA,Remote Access Management Server,RAZ,BPUAVZ,RemoteAccessPlant,Management-server,TCP/22 TCP/443 TCP/3389,SSH HTTPS RDP,Remote Access to Management server for antivirus & patch.,,,3.5,2.5
C3.5.2.5RAESM,Remote Access ESXi & Switch Management,RAZ,BPUAVZ,RemoteAccessPlant,ESXi-host-Switch-Management-PC,TCP/22 TCP/443 TCP/3389,SSH HTTPS RDP,Remote Access to Switch Management WS for management of ESXi and Switches.,,,3.5,2.5
C3.5.2RAONE,Remote Access Onshore Engineering Conduit,RAZ,ONEZ,RemoteAccessPlant,Onshore-EWS,TCP/22 TCP/443 TCP/3389,SSH HTTPS RDP,Remote Access to the Onshore EWS,,,3.5,2
C3.5.2RAOE,Remote Access Offshore Engineering Conduit,RAZ,POZ,RemoteAccessPlant,Offshore-EWS,TCP/22 TCP/443 TCP/3389,SSH HTTPS RDP,Remote Access to the Offshore EWS,,,3.5,2
C3.5.2RA800xA,Remote Access 800xA Conduit,RAZ,POZ,RemoteAccessPlant,800xA-Servers,TCP/22 TCP/443 TCP/3389,SSH HTTPS RDP,Remote Access to EWS, Aspect Servers, Connectivity Server etc ..,3.5,2
